Time (s),Voltage (V),Current (pA/pF)
0.0,-0.04864271000228886,-0.0
0.00010000000000065512,-0.048136110475318544,-0.0
0.00020000000000042206,-0.04824597543297476,-0.0
0.000300000000000189,-0.04791638056000611,-0.0
0.00039999999999995595,-0.04911268787670711,-0.0
0.0005000000000006111,-0.04753795681696804,-0.0
0.000600000000000378,-0.048239871824216074,-0.0
0.000700000000000145,-0.047800411993591224,-0.0
0.0007999999999999119,-0.04902723735408561,-0.0
0.000900000000000567,-0.04825207904173343,-0.0
0.001000000000000334,-0.04860608834973679,-0.0
0.001100000000000101,-0.048752574959945075,-0.0
0.0011999999999998678,-0.04889295796139468,-0.0
0.001300000000000523,-0.047922484168764795,-0.0
0.00140000000000029,-0.0478065156023499,-0.0
0.0015000000000000568,-0.04803234912642101,-0.0
0.0015999999999998238,-0.048886854352636004,-0.0
0.001700000000000479,-0.04747081712062258,-0.0
0.0018000000000002458,-0.04883802548256658,-0.0
0.0019000000000000128,-0.04844739452201115,-0.0
0.002000000000000668,-0.04819104295414665,-0.0
0.002100000000000435,-0.048752574959945075,-0.0
0.002200000000000202,-0.048459601739528506,-0.0
0.0022999999999999687,-0.048459601739528506,-0.0
0.002400000000000624,-0.048752574959945075,-0.0
0.002500000000000391,-0.04826428625925079,-0.0
0.0026000000000001577,-0.04796520943007554,-0.0
0.0026999999999999247,-0.04882581826504922,-0.0
0.00280000000000058,-0.04889295796139468,-0.0
0.0029000000000003467,-0.04781872281986726,-0.0
0.0030000000000001137,-0.04807507438773176,-0.0
0.0030999999999998806,-0.04803845273517968,-0.0
0.0032000000000005357,-0.048374151216907,-0.0
0.0033000000000003027,-0.0474952315556573,-0.0
0.0034000000000000696,-0.047946898603799505,-0.0
0.0034999999999998366,-0.04878919661249714,-0.0
0.0036000000000004917,-0.04889906157015336,-0.0
0.0037000000000002586,-0.04667734798199435,-0.0
0.0038000000000000256,-0.04801403830014497,-0.0
0.0039000000000006807,-0.04877698939497979,-0.0
0.004000000000000448,-0.04850843060959793,-0.0
0.004100000000000215,-0.046793316548409236,-0.0
0.0041999999999999815,-0.04766002899214161,-0.0
0.004300000000000637,-0.04830090791180286,-0.0
0.004400000000000404,-0.04818493934538797,-0.0
0.0045000000000001705,-0.046939803158617545,-0.0
0.0045999999999999375,-0.048123903257801186,-0.0
0.004700000000000593,-0.048661020828564897,-0.0
0.0048000000000003595,-0.04799572747386893,-0.0
0.0049000000000001265,-0.04892347600518807,-0.0
0.004999999999999893,-0.04854505226215,-0.0
0.0051000000000005485,-0.04839856565194172,-0.0
0.0052000000000003155,-0.04890516517891204,-0.0
0.005300000000000082,-0.0478919661249714,-0.0
0.005399999999999849,-0.049210345616845966,-0.0
0.0055000000000005045,-0.048215457389181364,-0.0
0.005600000000000271,-0.048874647135118646,-0.0
0.005700000000000038,-0.04828870069428551,-0.0
0.005799999999999805,-0.04822766460669872,-0.0
0.00590000000000046,-0.04795300221255819,-0.0
0.006000000000000227,-0.048831921873807894,-0.0
0.006099999999999994,-0.04802014190890365,-0.0
0.0062000000000006494,-0.048282597085526825,-0.0
0.006300000000000416,-0.04788586251621272,-0.0
0.006400000000000183,-0.049228656443122,-0.0
0.00649999999999995,-0.04802014190890365,-0.0
0.006600000000000605,-0.04820935378042268,-0.0
0.006700000000000372,-0.04890516517891204,-0.0
0.006800000000000139,-0.049210345616845966,-0.0
0.006899999999999906,-0.04807507438773176,-0.0
0.007000000000000561,-0.047489127946898614,-0.0
0.007100000000000328,-0.0483192187380789,-0.0
0.007200000000000095,-0.04864881361104754,-0.0
0.007299999999999862,-0.04775768673228047,-0.0
0.007400000000000517,-0.04854505226215,-0.0
0.007500000000000284,-0.04876478217746243,-0.0
0.007600000000000051,-0.04933852140077821,-0.0
0.007699999999999818,-0.04775768673228047,-0.0
0.007800000000000473,-0.048160524910353254,-0.0
0.00790000000000024,-0.049076066224155036,-0.0
0.008000000000000007,-0.048258182650492115,-0.0
0.008100000000000662,-0.047116807812619226,-0.0
0.00820000000000043,-0.0479774166475929,-0.0
0.008300000000000196,-0.04854505226215,-0.0
0.008399999999999963,-0.048874647135118646,-0.0
0.008500000000000618,-0.047061875333791116,-0.0
0.008600000000000385,-0.04844739452201115,-0.0
0.008700000000000152,-0.048459601739528506,-0.0
0.008799999999999919,-0.04881361104753186,-0.0
0.008900000000000574,-0.04695811398489358,-0.0
0.009000000000000341,-0.048215457389181364,-0.0
0.009100000000000108,-0.04817273212787061,-0.0
0.009199999999999875,-0.04822766460669872,-0.0
0.00930000000000053,-0.04734874494544901,-0.0
0.009400000000000297,-0.048148317692835896,-0.0
