Time (s),Voltage (V),Current (pA/pF)
0.0,-0.029452964065003442,-0.0
9.999999999998899e-05,-0.029849698634317547,-0.0
0.00019999999999997797,-0.028909742885481052,-0.0
0.000300000000000078,-0.029434653238727404,-0.0
0.00040000000000006697,-0.029526207370107582,-0.0
0.000500000000000056,-0.02933699549858855,-0.0
0.0006000000000000449,-0.029141680018310835,-0.0
0.0007000000000000339,-0.028500801098649588,-0.0
0.0008000000000000229,-0.03008773937590601,-0.0
0.0009000000000000119,-0.029849698634317547,-0.0
0.0010000000000000009,-0.028641184100099193,-0.0
0.0010999999999999899,-0.029593347066453047,-0.0
0.0011999999999999789,-0.029654383154039832,-0.0
0.0013000000000000789,-0.02953231097886626,-0.0
0.0014000000000000679,-0.028586251621271087,-0.0
0.0015000000000000568,-0.028928053711757086,-0.0
0.0016000000000000458,-0.029788662546730762,-0.0
0.0017000000000000348,-0.02915999084458687,-0.0
0.0018000000000000238,-0.02875104905775541,-0.0
0.0019000000000000128,-0.029398031586175336,-0.0
0.0020000000000000018,-0.029147783627069514,-0.0
0.0020999999999999908,-0.02975814450293737,-0.0
0.0021999999999999797,-0.028885328450446335,-0.0
0.0022999999999999687,-0.028921950102998407,-0.0
0.0024000000000000687,-0.029245441367208372,-0.0
0.0025000000000000577,-0.029721522850385297,-0.0
0.0026000000000000467,-0.029141680018310835,-0.0
0.0027000000000000357,-0.028812085145342194,-0.0
0.0028000000000000247,-0.029471274891279476,-0.0
0.0029000000000000137,-0.029935149156939046,-0.0
0.0030000000000000027,-0.02845197222858016,-0.0
0.0030999999999999917,-0.028506904707408267,-0.0
0.0031999999999999806,-0.029587243457694368,-0.0
0.0032999999999999696,-0.029770351720454724,-0.0
0.0034000000000000696,-0.028891432059205014,-0.0
0.0035000000000000586,-0.029855802243076227,-0.0
0.0036000000000000476,-0.030325780117494473,-0.0
0.0037000000000000366,-0.02983138780804151,-0.0
0.0038000000000000256,-0.028519111924925622,-0.0
0.0039000000000000146,-0.029697108415350584,-0.0
0.0040000000000000036,-0.029434653238727404,-0.0
0.0040999999999999925,-0.02887922484168766,-0.0
0.0041999999999999815,-0.029715419241626618,-0.0
0.0042999999999999705,-0.02983138780804151,-0.0
0.0044000000000000705,-0.02950179293507287,-0.0
0.0045000000000000595,-0.029977874418249797,-0.0
0.0046000000000000485,-0.029971770809491118,-0.0
0.0047000000000000375,-0.029642175936522477,-0.0
0.0048000000000000265,-0.029654383154039832,-0.0
0.0049000000000000155,-0.030118257419699403,-0.0
0.0050000000000000044,-0.029568932631418333,-0.0
0.005099999999999993,-0.02954451819638362,-0.0
0.005199999999999982,-0.030228122377355615,-0.0
0.005299999999999971,-0.030667582207980472,-0.0
0.005400000000000071,-0.02970931563286794,-0.0
0.00550000000000006,-0.029385824368657977,-0.0
0.005600000000000049,-0.030160982681010154,-0.0
0.005700000000000038,-0.030490577553978795,-0.0
0.005800000000000027,-0.02898908979934387,-0.0
0.005900000000000016,-0.030142671854734116,-0.0
0.006000000000000005,-0.029910734721904333,-0.0
0.006099999999999994,-0.03043564507515069,-0.0
0.006199999999999983,-0.0292088197146563,-0.0
0.006299999999999972,-0.029849698634317547,-0.0
0.006400000000000072,-0.02988021667811094,-0.0
0.006500000000000061,-0.029526207370107582,-0.0
0.00660000000000005,-0.02921492332341498,-0.0
0.006700000000000039,-0.029556725413900975,-0.0
0.006800000000000028,-0.029483482108796834,-0.0
0.006900000000000017,-0.029788662546730762,-0.0
0.007000000000000006,-0.029245441367208372,-0.0
0.007099999999999995,-0.029477378500038155,-0.0
0.007199999999999984,-0.02967269398031587,-0.0
0.007299999999999973,-0.030124361028458082,-0.0
0.007400000000000073,-0.029239337758449693,-0.0
0.007500000000000062,-0.02987411306935226,-0.0
0.007600000000000051,-0.029715419241626618,-0.0
0.00770000000000004,-0.03022201876859694,-0.0
0.007800000000000029,-0.02953231097886626,-0.0
0.007900000000000018,-0.029587243457694368,-0.0
0.008000000000000007,-0.03050888838025483,-0.0
0.008099999999999996,-0.030563820859082935,-0.0
0.008199999999999985,-0.02954451819638362,-0.0
0.008299999999999974,-0.02967269398031587,-0.0
0.008400000000000074,-0.03042954146639201,-0.0
0.008500000000000063,-0.03062485694666972,-0.0
0.008600000000000052,-0.028976882581826513,-0.0
0.008700000000000041,-0.029843595025558868,-0.0
0.00880000000000003,-0.02987411306935226,-0.0
0.008900000000000019,-0.030930037384603648,-0.0
0.009000000000000008,-0.029355306324864584,-0.0
0.009099999999999997,-0.03009384298466469,-0.0
0.009199999999999986,-0.030453955901426723,-0.0
0.009299999999999975,-0.030399023422598617,-0.0
0.009400000000000075,-0.029922941939421688,-0.0
0.009500000000000064,-0.030069428549629976,-0.0
0.009600000000000053,-0.029654383154039832,-0.0
0.009700000000000042,-0.030728618295567257,-0.0
0.009800000000000031,-0.029361409933623264,-0.0
0.00990000000000002,-0.02973983367666133,-0.0
0.010000000000000009,-0.030234225986114294,-0.0
0.010099999999999998,-0.030698100251773865,-0.0
0.010199999999999987,-0.029514000152590227,-0.0
0.010299999999999976,-0.029898527504386974,-0.0
0.010400000000000076,-0.030594338902876328,-0.0
0.010500000000000065,-0.031149767299916076,-0.0
0.010600000000000054,-0.029343099107347226,-0.0
0.010700000000000043,-0.029678797589074546,-0.0
0.010800000000000032,-0.030722514686808578,-0.0
0.01090000000000002,-0.030588235294117652,-0.0
0.01100000000000001,-0.029385824368657977,-0.0
0.011099999999999999,-0.03147325856412604,-0.0
0.011199999999999988,-0.030685893034256506,-0.0
0.011299999999999977,-0.030496681162737474,-0.0
0.011400000000000077,-0.029684901197833225,-0.0
0.011500000000000066,-0.03008163576714733,-0.0
0.011600000000000055,-0.030142671854734116,-0.0
0.011700000000000044,-0.030106050202182044,-0.0
0.011800000000000033,-0.02962386511024644,-0.0
0.011900000000000022,-0.03017318989852751,-0.0
0.01200000000000001,-0.02973983367666133,-0.0
0.0121,-0.030942244602121007,-0.0
0.012199999999999989,-0.02953231097886626,-0.0
0.012299999999999978,-0.029697108415350584,-0.0
0.012400000000000078,-0.029977874418249797,-0.0
0.012500000000000067,-0.030185397116044867,-0.0
0.012600000000000056,-0.029098954757000084,-0.0
