voltage_mV,capacitance_pF,rseries_Mohm,rseal_Mohm
-80.0,26.349,7.8877,4237.7
-70.0,26.349,7.8877,3092.0
-60.0,26.349,7.8877,3311.3
-50.0,26.349,7.8877,2783.0
-40.0,26.349,7.8877,3651.5
-30.0,26.349,7.8877,3197.7
-20.0,26.349,7.8877,2925.4
-10.0,26.349,7.8877,2469.3
0.0,26.349,7.8877,3110.5
10.0,26.349,7.8877,2481.0
20.0,26.349,7.8877,3119.8
30.0,26.349,7.8877,2606.8
40.0,26.349,7.8877,2867.9
50.0,26.349,7.8877,3258.6
60.0,26.349,7.8877,2710.0
70.0,26.349,7.8877,3311.6
80.0,26.349,7.8877,3259.0
